"Question No.","Marks","Question"
"1","2","A man spends 40% of his salary on rent, 30% on groceries, and the remaining ₹18000 on other expenses. What is his total salary?"
"2","2","Find the smallest positive integer that is divisible by both 7 and 11."
"3","2","If 3 workers can complete a task in 8 days, how many days will it take for 5 workers to complete the same task?"
"4","2","In a race, A beats B by 30 meters and C by 60 meters. If the race is 200 meters long, what are the speeds of A, B, and C in the same unit?"
"5","2","What is the probability of drawing a king or a queen from a deck of 52 cards?"
"6","2","A number is divisible by both 3 and 5, and it is less than 100. What is the largest possible number?"
"7","2","What is the sum of the first 50 odd numbers?"
"8","2","A train travels 60 km in 50 minutes. What is its speed in km/h?"
"9","2","Find the average of the first 100 prime numbers."
"10","2","The price of an article is increased by 15% and then decreased by 15%. What is the net percentage change in its price?"
"11","5","In a factory, the number of workers increases by 20% every year. If there are 120 workers in the first year, how many workers will there be in the 5th year?"
"12","5","A car travels 200 km in 4 hours, and another car travels 150 km in 3 hours. What is the ratio of their speeds?"
"13","5","Solve for x: (3x + 5)/(2x - 7) = 4."
"14","5","A person is 6 times as old as his son. In 12 years, the father will be 3 times as old as the son. Find their current ages."
"15","5","The sum of the squares of two consecutive odd integers is 290. Find the integers."
"16","5","What is the LCM of 28 and 35?"
"17","5","Find the total cost of 15 articles, each costing ₹100, after a discount of 25%."
"18","5","What is the compound interest on ₹12000 at an interest rate of 10% per annum for 3 years?"
"19","5","In a class of 40 students, 10% of the students are absent. How many students are present?"
"20","5","A bag contains 8 red balls, 6 blue balls, and 4 green balls. What is the probability of drawing a red or green ball?"
"21","5","A man invests ₹5000 at 12% simple interest. How much interest will he earn in 3 years?"
"22","5","The ratio of the ages of A and B is 4:5. If the sum of their ages is 45 years, what is A’s age?"
"23","5","Find the speed of a boat that can travel 40 km downstream in 5 hours and return upstream in 8 hours. The speed of the current is 2 km/h."
"24","5","A man can do a work in 15 days. He hires a second man, and together they finish the work in 9 days. How long would the second man take to finish the work alone?"
"25","5","The average of five numbers is 30. If the first four numbers are 28, 35, 32, and 25, what is the fifth number?"
"26","5","A train is moving at 72 km/h. How long will it take to cross a platform that is 250 meters long?"
"27","5","Find the sum of the first 50 terms of the arithmetic sequence 5, 9, 13, ... "
"28","5","A shopkeeper sells an article for ₹500, incurring a loss of 25%. What is the cost price of the article?"
"29","5","In a school, the ratio of boys to girls is 3:5. If there are 240 girls, how many boys are there?"
"30","5","The perimeter of a rectangular garden is 100 meters. If the length is 30 meters, find the width of the garden."
"31","5","What is the area of a circle whose circumference is 44 cm? (Use π = 22/7)"
"32","5","Solve the quadratic equation: x² - 6x + 9 = 0."
"33","5","What is the probability of drawing a red or a black card from a deck of 52 cards?"
"34","5","In a group of 40 students, 30% are absent. How many students are present?"
"35","5","The sum of the ages of 5 children is 60 years. If the age of one child is 14 years, what is the average age of the remaining 4 children?"
"36","5","A person walks at 4 km/h for 3 hours, then at 6 km/h for 2 hours. What is his average speed?"
"37","5","If x + y = 20 and x - y = 4, solve for x and y."
"38","5","Find the value of x: 5(2x - 1) = 3(3x + 2)."
"39","5","What is the value of 5^3 + 3^2?"
"40","5","A company’s profit increases by 15% each year. If the current profit is ₹500000, what will the profit be after 3 years?"
"41","10","A train is 200 meters long and moves at a speed of 72 km/h. How much time will it take to cross a platform that is 300 meters long?"
"42","10","A boat can travel 24 km downstream in 2 hours. If the speed of the current is 4 km/h, what is the speed of the boat in still water?"
"43","10","A sum of ₹2000 is invested at compound interest at 8% per annum for 2 years. What will be the total amount at the end of 2 years?"
"44","10","Find the value of x: (2x + 3)(x - 5) = 0."
"45","10","A company’s sales increase by 20% each quarter. If the sales in the first quarter were ₹50000, what will be the sales in the 6th quarter?"
"46","10","The difference of squares of two numbers is 72, and the sum of the numbers is 24. Find the numbers."
"47","10","Solve for x: (x + 3)² = 64."
"48","10","In a class of 40 students, 60% are girls. How many boys are there in the class?"
"49","10","The sum of two numbers is 75, and their difference is 25. Find the numbers."
"50","10","Find the value of x: 3(x - 5) + 2x = 40."
"51","10","If a person walks at 5 km/h for 2 hours, then at 10 km/h for 3 hours, what is his average speed for the whole journey?"
"52","10","Find the compound interest on ₹8000 for 2 years at 10% per annum compounded annually."
"53","10","A man invests ₹50000 at 8% annual compound interest. What is the total amount after 5 years?"
"54","10","A student’s score in a test is 25% more than the average score. If the average score is 60, what is the student’s score?"
"55","10","What is the solution for x in the equation: 3x + 2 = 4x - 5?"
"56","10","If the ratio of the angles of a triangle is 2:3:5, find the angles of the triangle."
"57","10","In a classroom of 45 students, 60% are boys. How many girls are there in the class?"
"58","10","If the sum of two numbers is 100, and their difference is 20, find the numbers."
"59","10","The sum of the ages of a father and his son is 70 years. The father’s age is 4 times the son’s age. Find their ages."
"60","10","A number is divisible by both 6 and 8. What is the smallest number divisible by both?"
"61","10","If a sum of ₹2000 is invested at 5% compound interest for 3 years, what is the total amount?"
"62","10","Find the area of a triangle with base 15 cm and height 20 cm."
"63","10","A man walks 5 km in 1 hour and then 10 km in 2 hours. What is his average speed for the entire journey?"
"64","10","A person buys 6 pens for ₹90 and sells each pen for ₹20. What is his profit percentage?"
"65","10","A factory produces 400 units in 8 hours. How many units will it produce in 12 hours?"
"66","10","The sum of the squares of two consecutive even numbers is 400. Find the numbers."
"67","10","A trader marks his goods at 30% above cost price. If he sells them at a discount of 20%, what is his profit percentage?"
"68","10","If x + y = 50 and 2x + y = 80, solve for x and y."
"69","10","The average of 8 numbers is 45. If one of the numbers is 50, what is the sum of the other 7 numbers?"
"70","10","Find the volume of a sphere with a radius of 7 cm. (Use π = 22/7)"
"71","10","In a class of 40 students, 25% are absent. How many students are present?"
"72","10","The perimeter of a rectangle is 48 cm. If the length is 14 cm, find the width of the rectangle."
"73","10","A car moves at a speed of 50 km/h for 2 hours and then at 60 km/h for 3 hours. What is the average speed for the whole journey?"
"74","10","A person sells an article for ₹400 at a loss of 20%. What is the cost price of the article?"
"75","10","The cost price of an item is ₹2000, and it is sold for ₹2200. What is the percentage profit?"
"76","10","Find the profit or loss percentage if an item is bought for ₹150 and sold for ₹120."
"77","10","What is the value of 7³ + 5²?"
"78","10","A person invests ₹10000 at 6% compound interest. What is the total amount after 2 years?"
"79","10","A sum of money doubles in 5 years at compound interest. What is the rate of interest?"
"80","10","Find the cost price of an item if the selling price is ₹500 and the profit is ₹100."
"81","10","A triangle has sides of lengths 12 cm, 16 cm, and 20 cm. Is it a right-angled triangle?"
"82","10","The sum of two consecutive numbers is 65. What are the numbers?"
"83","10","In a game, a coin is flipped 3 times. What is the probability of getting exactly 2 heads?"
