"Question No.","Marks","Question"
"1","2","What is artificial intelligence? Briefly explain its types."
"2","2","What is machine learning? How is it different from traditional programming?"
"3","2","What are the key applications of AI in various industries?"
"4","2","Define data science. What are its main components?"
"5","2","Explain the term 'supervised learning' with an example."
"6","2","What is unsupervised learning? Give an example."
"7","2","What are the different types of data in machine learning?"
"8","2","What is Python? Why is it preferred for AI and data science?"
"9","2","What is a dataset? How is it used in data science?"
"10","2","Define 'feature engineering' in the context of data science."
"11","5","What is machine learning? Explain its categories with examples."
"12","5","What are the differences between supervised and unsupervised learning?"
"13","5","What is the importance of data cleaning in data science? Explain the process."
"14","5","Explain the difference between classification and regression in machine learning."
"15","5","What is a confusion matrix? How is it used in classification problems?"
"16","5","What are the advantages and disadvantages of decision trees in machine learning?"
"17","5","How do you evaluate the performance of a machine learning model?"
"18","5","What is the significance of cross-validation in machine learning?"
"19","5","What is overfitting and underfitting in machine learning? How can they be prevented?"
"20","5","Explain the k-nearest neighbors (KNN) algorithm and its applications."
"21","5","What is the role of feature selection in machine learning?"
"22","5","What are the different types of machine learning algorithms?"
"23","5","What is the difference between batch learning and online learning?"
"24","5","What is a support vector machine (SVM)? Explain its working."
"25","5","What is the importance of data preprocessing in machine learning?"
"26","5","Explain the concept of dimensionality reduction in machine learning."
"27","5","What is the importance of Python libraries such as NumPy and pandas in data science?"
"28","5","Explain the difference between a list and a tuple in Python."
"29","5","What are Python libraries used for data visualization?"
"30","5","What is a neural network? How is it used in deep learning?"
"31","5","What is the purpose of the activation function in neural networks?"
"32","5","What is gradient descent in machine learning? How does it work?"
"33","5","What is clustering in unsupervised learning? Explain with an example."
"34","5","What are random forests? How do they differ from decision trees?"
"35","5","What is the purpose of the Python `sklearn` library in machine learning?"
"36","5","Explain the difference between bagging and boosting algorithms."
"37","5","What is the Naive Bayes classifier? How is it used in machine learning?"
"38","5","Explain the difference between batch gradient descent and stochastic gradient descent."
"39","5","What is feature scaling and why is it important?"
"40","5","What is the purpose of train-test split in machine learning?"
"41","5","What are the key differences between regression and classification problems?"
"42","5","What is the role of hyperparameters in machine learning models?"
"43","5","What is principal component analysis (PCA)? How does it help in reducing dimensions?"
"44","5","What is the purpose of regularization techniques like L1 and L2?"
"45","5","What is the importance of model evaluation metrics such as accuracy, precision, recall, and F1-score?"
"46","5","Explain the significance of ensemble methods in machine learning."
"47","5","What is the difference between precision and recall? Why is this distinction important?"
"48","5","Explain the concept of deep learning and how it is different from traditional machine learning."
"49","5","What is a convolutional neural network (CNN)? How is it used in image recognition?"
"50","5","What is a recurrent neural network (RNN)? Explain its applications."
"51","10","What is artificial intelligence? Discuss the difference between narrow AI and general AI."
"52","10","Explain the concept of supervised learning with examples. What are the main types of supervised learning?"
"53","10","What are the key challenges in machine learning? How can they be overcome?"
"54","10","What is the k-means algorithm in clustering? Explain its working and applications."
"55","10","What are the key steps involved in the data science process? Discuss each step in detail."
"56","10","What is the significance of normalization and standardization in data preprocessing?"
"57","10","What are the differences between classification algorithms like decision trees, Naive Bayes, and logistic regression?"
"58","10","What are support vector machines (SVM)? Discuss their applications and limitations."
"59","10","What is cross-validation? Explain its purpose and how it is implemented in Python."
"60","10","What is the importance of data visualization in data science? Discuss different types of plots in Python."
"61","10","Explain the concept of decision trees. How are they built and used for classification?"
"62","10","What is ensemble learning? Discuss the working of algorithms like random forests and gradient boosting."
"63","10","What is a neural network? Discuss its working with the help of a diagram."
"64","10","What is the purpose of the activation function in a neural network? Explain the types of activation functions."
"65","10","What are convolutional neural networks (CNNs)? How are they used for image classification?"
"66","10","What are recurrent neural networks (RNNs)? Explain their application in sequential data."
"67","10","What is deep learning? Discuss its difference from traditional machine learning."
"68","10","What is the importance of feature selection? Explain the methods for feature selection."
"69","10","What is the role of Python libraries like NumPy, pandas, Matplotlib, and Seaborn in data science?"
"70","10","What are the key differences between supervised and unsupervised learning algorithms?"
"71","10","What is dimensionality reduction? Explain the concept of PCA (Principal Component Analysis)."
"72","10","What is the difference between regression and classification problems? Provide examples of each."
"73","10","What are overfitting and underfitting? Discuss how they can be controlled in machine learning models."
"74","10","What is the importance of train-test split in machine learning? Explain how it is implemented in Python."
"75","10","Explain the concept of random forests and how they improve the performance of decision trees."
"76","10","What is hyperparameter tuning in machine learning? How is it done using grid search and random search?"
"77","10","What is the importance of model evaluation metrics like accuracy, precision, recall, and F1-score?"
"78","10","What is the role of Python's `sklearn` library in building machine learning models?"
"79","10","Explain how the Naive Bayes algorithm works. What are its advantages and disadvantages?"
"80","10","What is the concept of gradient descent? How does it help in training machine learning models?"
"81","10","What is the significance of feature engineering in machine learning? Provide examples of feature engineering techniques."
"82","10","What are the different methods of evaluating machine learning models? Discuss the use of cross-validation."
"83","10","What is the importance of hyperparameter tuning in machine learning? Explain the process of grid search and random search."
"84","10","What is a support vector machine (SVM)? Discuss the mathematical concept behind SVM and its use in classification."
"85","10","What is a confusion matrix? How is it used to evaluate classification models?"
"86","10","What is deep learning? Explain its difference from traditional machine learning and discuss its applications."
"87","10","What is a neural network? Explain the architecture and working of a basic neural network."
"88","10","What is PCA (Principal Component Analysis)? Explain how it reduces the dimensionality of data."
"89","10","What is a time-series analysis? How is it used in data science for forecasting?"
"90","10","What is the role of the `pandas` library in data science? Explain how to perform basic data operations with pandas."
"91","10","What is the purpose of `NumPy` in data science? How does it handle numerical computations?"
"92","10","What are the benefits of using `Matplotlib` and `Seaborn` for data visualization?"
"93","10","What is reinforcement learning? How does it differ from supervised learning?"
"94","10","What are the different techniques used for clustering? Explain k-means clustering with an example."
"95","10","What are the different types of machine learning algorithms used in data science?"
"96","10","Explain the concept of bagging and boosting. How do these techniques improve the performance of weak models?"
"97","10","What are artificial neural networks (ANNs)? Discuss their importance in deep learning."
"98","10","What are the major types of deep learning architectures? Discuss CNNs and RNNs."
"99","10","What are the key challenges of implementing AI in real-world applications?"
"100","10","What is the difference between batch learning and online learning in machine learning?"
"101","10","What is the role of Python libraries like `scikit-learn`, `TensorFlow`, and `Keras` in AI and data science?"
"102","10","What is the importance of evaluation metrics like ROC curve and AUC in classification problems?"
"103","10","What is the difference between supervised and unsupervised machine learning algorithms?"
"104","10","How does the decision tree algorithm work? What are its advantages and limitations?"
"105","10","What is deep learning? Discuss its difference from traditional machine learning techniques."
"106","10","What are convolutional neural networks (CNNs)? How do they perform in image recognition tasks?"
"107","10","What is the difference between a classification and regression problem in machine learning?"
"108","10","Explain the process of building a machine learning model from data collection to model evaluation."
"109","10","What is natural language processing (NLP)? How is it used in AI applications?"
"110","10","What is the purpose of feature scaling in machine learning? Explain the types of scaling techniques."
