"Question No.","Marks","Question"
"1","2","Find the next number in the series: 2, 5, 10, 17, ?"
"2","2","If a car travels 60 km in 45 minutes, what is its speed in km/h?"
"3","2","A train moves at a speed of 72 km/h. How long will it take to travel 180 km?"
"4","2","Solve: 3x + 4 = 19. What is the value of x?"
"5","2","If the ratio of the ages of A and B is 3:4 and the sum of their ages is 35, what is A’s age?"
"6","2","What is the perimeter of a rectangle with length 8 cm and width 6 cm?"
"7","2","What is the area of a circle with radius 7 cm? (Use π = 22/7)"
"8","2","If the average of five numbers is 12, what is the sum of those five numbers?"
"9","2","Solve: (2x - 3) = 5. What is the value of x?"
"10","2","Find the value of x in the equation: 5(x + 3) = 40."
"11","5","If a sum of money is invested at 10% annual simple interest, how much interest will be earned on ₹5000 in 2 years?"
"12","5","A car covers 150 meters in 15 seconds. What is its speed in meters per second?"
"13","5","Find the average of the following numbers: 10, 20, 30, 40, 50."
"14","5","If a man’s salary is increased by 20%, and his new salary is ₹24000, what was his original salary?"
"15","5","A bag contains 4 red balls and 6 green balls. What is the probability of drawing a green ball?"
"16","5","Find the area of a triangle with base 10 cm and height 12 cm."
"17","5","Solve for x: 2x/3 = 8. What is the value of x?"
"18","5","A clock shows the time 3:15. What is the angle between the hour and minute hands?"
"19","5","In a class of 30 students, 18 are boys. What is the ratio of boys to girls?"
"20","5","The price of a book is ₹150. If the price is increased by 10%, what will be the new price?"
"21","5","If A can do a work in 10 days and B can do the same work in 20 days, how long will they take to do the work together?"
"22","5","If a car travels 40 km in 30 minutes, what is its average speed in km/h?"
"23","5","What is the LCM of 12 and 18?"
"24","5","A person walks 5 km in 1 hour. How long will it take for him to walk 25 km?"
"25","5","A train running at 90 km/h crosses a platform in 10 seconds. How long is the platform?"
"26","5","What is the compound interest on ₹5000 for 2 years at an interest rate of 5% per annum?"
"27","5","If 3x + 5 = 20, solve for x."
"28","5","How many days will it take for 8 men to complete a job that 4 men can complete in 20 days?"
"29","5","Find the sum of the first 50 natural numbers."
"30","5","A box contains 10 red balls and 20 blue balls. What is the probability of picking a red ball?"
"31","5","Find the square root of 144."
"32","5","Solve for x: 4x + 7 = 23."
"33","5","What is the profit percentage if a product is bought for ₹50 and sold for ₹60?"
"34","5","Find the cost price of an item if the selling price is ₹120 and the profit is ₹40."
"35","5","Find the median of the following data: 3, 7, 9, 11, 15."
"36","5","A person walks at 5 km/h for 3 hours, then at 8 km/h for 2 hours. What is his average speed?"
"37","5","Find the value of x in the equation: 3(x + 2) = 21."
"38","5","The cost of 5 kg of apples is ₹150. What is the cost of 3 kg of apples?"
"39","5","A person’s age is three times that of his son. In 10 years, the father will be twice as old as the son. Find their present ages."
"40","5","If the price of a commodity increases by 25%, by what percentage must the consumption be decreased to maintain the same expenditure?"
"41","5","Find the mode of the following data: 10, 20, 20, 30, 30, 30, 40."
"42","10","A person invests ₹5000 in a bank offering 8% annual compound interest. What will be the total amount after 3 years?"
"43","10","A car travels 50 km in 40 minutes. What is the average speed of the car in km/h?"
"44","10","If a triangle has sides of lengths 7 cm, 24 cm, and 25 cm, is it a right-angled triangle?"
"45","10","Find the sum of all even numbers between 1 and 100."
"46","10","How much time will a person take to cover a distance of 120 km, if his speed is 15 km/h?"
"47","10","A group of 5 friends can finish a project in 15 days. How many days will it take for 3 friends to finish the same project?"
"48","10","A company manufactures 200 units of a product in 5 hours. How many units will the company manufacture in 8 hours?"
"49","10","Solve: 2x - 5 = 3x + 7. What is the value of x?"
"50","10","The length of a rectangle is 8 cm more than its width. If the perimeter of the rectangle is 40 cm, find the dimensions."
"51","10","Find the greatest common divisor (GCD) of 48 and 180."
"52","10","A man spends 40% of his salary on rent, 20% on groceries, and the remaining 30% on other expenses. If his salary is ₹50000, what is the amount spent on rent?"
"53","10","What is the area of a square whose side is 12 cm?"
"54","10","If a train travels 120 km in 2 hours, what is the speed of the train?"
"55","10","In a race, A beats B by 20 meters and C by 40 meters. If the total race distance is 200 meters, what is the speed ratio of A to B?"
"56","10","If the cost of 5 books is ₹250, what is the cost of 8 books?"
"57","10","A product is sold for ₹500 after a discount of 10%. What is the marked price of the product?"
"58","10","A box contains 20 red balls, 30 blue balls, and 50 green balls. What is the probability of picking a blue ball?"
"59","10","If a number is divisible by both 3 and 5, what is the smallest possible number?"
"60","10","Find the profit or loss if an article is bought for ₹400 and sold for ₹350."
"61","10","Find the compound interest on ₹10000 for 1 year at 5% per annum compounded quarterly."
"62","10","A factory produces 500 units of a product in 5 hours. How many units can it produce in 12 hours?"
"63","10","If the sides of a triangle are 6 cm, 8 cm, and 10 cm, is it a right-angled triangle?"
"64","10","What is the ratio of the circumference to the diameter of a circle?"
"65","10","The sum of two numbers is 48, and their difference is 8. Find the numbers."
"66","10","Find the area of a rectangle with length 14 cm and width 7 cm."
"67","10","A person walks 5 km, then rides a bicycle for 10 km. If the total time taken is 2 hours, find his average speed."
"68","10","If a sum of money is invested at 6% annual compound interest, what is the amount after 2 years on ₹8000?"
"69","10","A man buys 6 pens for ₹30 and sells each pen for ₹6. What is his profit percentage?"
"70","10","Find the value of x in the equation: 5x + 3 = 2x + 18."
"71","10","If a sum of ₹12000 is invested at 8% simple interest, what will be the total amount after 5 years?"
"72","10","What is the area of a triangle with base 10 cm and height 5 cm?"
"73","10","Find the average of the first 10 multiples of 3."
"74","10","What is the distance traveled by a car moving at 60 km/h for 2.5 hours?"
"75","10","If the cost of 5 pencils is ₹15, what is the cost of 12 pencils?"
"76","10","Find the mode of the data: 12, 15, 12, 18, 20, 15, 15."
"77","10","What is the compound interest on ₹2500 for 3 years at 4% per annum?"
"78","10","A person invests ₹5000 in a scheme offering 10% annual interest. How much interest will he earn in 2 years?"
"79","10","If a number is divisible by both 6 and 8, what is the least number it can be divisible by?"
"80","10","What is the average of the numbers: 23, 45, 67, 89, 56?"
"81","10","Find the ratio of the areas of two squares if their sides are in the ratio 2:3."
"82","10","What is the value of x in the equation: 4x + 8 = 3x + 15?"
"83","10","What is the perimeter of a square whose side is 14 cm?"
"84","10","A bag contains 3 white balls and 7 black balls. What is the probability of drawing a white ball?"
"85","10","How many days will 5 workers take to finish a job that 15 workers can finish in 30 days?"
"86","10","Find the speed of a person who walks 3 km in 30 minutes."
"87","10","What is the area of a circle with radius 6 cm?"
"88","10","A seller buys an item for ₹250 and sells it for ₹300. What is his profit percentage?"
"89","10","Find the LCM of 18 and 24."
"90","10","A sum of ₹5000 is invested at 5% annual simple interest. How much will the total amount be after 4 years?"
"91","10","If the sum of two numbers is 48 and their difference is 12, what are the two numbers?"
"92","10","What is the profit if an item is bought for ₹450 and sold for ₹500?"
"93","10","A person travels 30 km in 2 hours, then 50 km in 3 hours. What is his average speed?"
"94","10","What is the value of x in the equation: 3(x + 2) = 18?"
"95","10","If a train travels at 60 km/h, how long will it take to cover 180 km?"
"96","10","A factory produces 300 units of a product in 5 hours. How many units will it produce in 8 hours?"
"97","10","If the area of a square is 64 cm², what is the length of its side?"
"98","10","Find the time taken to complete a task if 8 men can finish it in 12 days."
"99","10","If the cost price of an article is ₹800 and it is sold for ₹1000, what is the profit percentage?"
"100","10","Find the greatest common divisor of 30 and 45."
