"Question No.","Marks","Question"
"1","2","Write a program to print 'Hello, World!' on the screen."
"2","2","Write a program to find the sum of two integers entered by the user."
"3","2","Write a program to find the factorial of a given number using iteration."
"4","2","Write a program to check whether a given number is prime or not."
"5","2","Write a program to check whether a given number is palindrome or not."
"6","2","Write a program to find the largest of three numbers."
"7","2","Write a program to reverse a given integer number."
"8","2","Write a program to find the Fibonacci series up to N terms."
"9","2","Write a program to check whether a number is even or odd."
"10","2","Write a program to find the sum of digits of a given number."
"11","5","Write a program to find the factorial of a given number using recursion."
"12","5","Write a program to print the multiplication table of a given number."
"13","5","Write a program to find the greatest common divisor (GCD) of two numbers using Euclid’s algorithm."
"14","5","Write a program to find the least common multiple (LCM) of two numbers."
"15","5","Write a program to find the number of vowels in a given string."
"16","5","Write a program to count the occurrences of a character in a string."
"17","5","Write a program to concatenate two strings."
"18","5","Write a program to convert a string to uppercase and lowercase."
"19","5","Write a program to check whether a string is a palindrome."
"20","5","Write a program to print the Fibonacci series using recursion."
"21","5","Write a program to find the sum of all even numbers in a given array."
"22","5","Write a program to count the number of words in a given sentence."
"23","5","Write a program to find the frequency of each character in a string."
"24","5","Write a program to merge two arrays into a third array."
"25","5","Write a program to find the maximum and minimum elements in an array."
"26","5","Write a program to search for an element in an array using linear search."
"27","5","Write a program to search for an element in an array using binary search."
"28","5","Write a program to sort an array using bubble sort."
"29","5","Write a program to sort an array using selection sort."
"30","5","Write a program to implement matrix addition."
"31","5","Write a program to implement matrix multiplication."
"32","5","Write a program to implement quicksort algorithm."
"33","5","Write a program to implement merge sort algorithm."
"34","5","Write a program to find the transpose of a matrix."
"35","5","Write a program to check if two strings are anagrams."
"36","5","Write a program to find the intersection of two arrays."
"37","5","Write a program to check if an array is sorted."
"38","5","Write a program to count the number of prime numbers in a given range."
"39","5","Write a program to find the sum of the diagonal elements of a matrix."
"40","5","Write a program to reverse a string without using the built-in reverse function."
"41","10","Write a program to implement a linked list with basic operations like insertion, deletion, and traversal."
"42","10","Write a program to implement a stack using an array."
"43","10","Write a program to implement a queue using an array."
"44","10","Write a program to implement a circular queue using an array."
"45","10","Write a program to check if a given expression has balanced parentheses."
